PS C:\> netstat -an

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING
  TCP    192.168.20.102:139     0.0.0.0:0              LISTENING
  TCP    192.168.20.102:23453   192.168.10.10:445      ESTABLISHED
  TCP    192.168.20.102:23454   192.168.10.11:445      ESTABLISHED
  TCP    192.168.20.102:23456   192.168.10.12:3128     ESTABLISHED  
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  UDP    0.0.0.0:53             *:*
